nom,region,departement,email,groupe,circonscription
M. Olivier Fayssat,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,olivier.fayssat@assemblee-nationale.fr,Union des droites pour la République,Bouches-du-Rhône (6e circonscription)
M. Philippe Lottiaux,Provence-Alpes-Côte d'Azur,Var,philippe.lottiaux@assemblee-nationale.fr,Rassemblement National,Var (4e circonscription)
M. Philippe Schreck,Provence-Alpes-Côte d'Azur,Var,philippe.schreck@assemblee-nationale.fr,Rassemblement National,Var (8e circonscription)
M. Raphaël Arnault,Provence-Alpes-Côte d'Azur,Vaucluse,raphael.arnault@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Vaucluse (1re circonscription)
M. Romain Baubry,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,romain.baubry@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (15e circonscription)
M. Romain Tonussi,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,romain.tonussi@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (8e circonscription)
M. Stéphane Rambaud,Provence-Alpes-Côte d'Azur,Var,stephane.rambaud@assemblee-nationale.fr,Rassemblement National,Var (3e circonscription)
M. Sébastien Delogu,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,sebastien.delogu@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Bouches-du-Rhône (7e circonscription)
M. Yannick Chenevard,Provence-Alpes-Côte d'Azur,Var,yannick.chenevard@assemblee-nationale.fr,Ensemble pour la République,Var (1re circonscription)
M. Éric Ciotti,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Eric.Ciotti@assemblee-nationale.fr,Union des droites pour la République,Alpes-Maritimes (1re circonscription)
M. Éric Pauget,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Eric.Pauget@assemblee-nationale.fr,Droite Républicaine,Alpes-Maritimes (7e circonscription)
Mme Alexandra Martin (Alpes-Maritimes),Provence-Alpes-Côte d'Azur,Alpes-Maritimes,alexandra.martin@assemblee-nationale.fr,Droite Républicaine,Alpes-Maritimes (8e circonscription)
Mme Bénédicte Auzanot,Provence-Alpes-Côte d'Azur,Vaucluse,benedicte.auzanot@assemblee-nationale.fr,Rassemblement National,Vaucluse (2e circonscription)
Mme Catherine Rimbert,Provence-Alpes-Côte d'Azur,Vaucluse,catherine.rimbert@assemblee-nationale.fr,Rassemblement National,Vaucluse (5e circonscription)
Mme Christelle D'Intorni,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,christelle.dintorni@assemblee-nationale.fr,Union des droites pour la République,Alpes-Maritimes (5e circonscription)
Mme Gisèle Lelouis,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,gisele.lelouis@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (3e circonscription)
Mme Joëlle Mélin,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,joelle.melin@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (9e circonscription)
Mme Julie Lechanteux,Provence-Alpes-Côte d'Azur,Var,julie.lechanteux@assemblee-nationale.fr,Rassemblement National,Var (5e circonscription)
Mme Laure Lavalette,Provence-Alpes-Côte d'Azur,Var,laure.lavalette@assemblee-nationale.fr,Rassemblement National,Var (2e circonscription)
Mme Marie-France Lorho,Provence-Alpes-Côte d'Azur,Vaucluse,Marie-France.Lorho@assemblee-nationale.fr,Rassemblement National,Vaucluse (4e circonscription)
Mme Marie-José Allemand,Provence-Alpes-Côte d'Azur,Hautes-Alpes,marie-jose.allemand@assemblee-nationale.fr,Socialistes et apparentés,Hautes-Alpes (1re circonscription)
Mme Michèle Tabarot,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Michele.Tabarot@assemblee-nationale.fr,Droite Républicaine,Alpes-Maritimes (9e circonscription)
Mme Monique Griseti,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,monique.griseti@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (1re circonscription)
Mme Sophie Ricourt Vaginay,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,sophie.vaginay@assemblee-nationale.fr,Union des droites pour la République,Alpes-de-Haute-Provence (2e circonscription)
Mme Valérie Rossi,Provence-Alpes-Côte d'Azur,Hautes-Alpes,valerie.rossi@assemblee-nationale.fr,Socialistes et apparentés,Hautes-Alpes (2e circonscription)
M. Frédéric Maillot,Réunion,Réunion,frederic.maillot@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Réunion (6e circonscription)
M. Jean-Hugues Ratenon,Réunion,Réunion,Jean-Hugues.Ratenon@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Réunion (5e circonscription)
M. Joseph Rivière,Réunion,Réunion,joseph.riviere@assemblee-nationale.fr,Rassemblement National,Réunion (3e circonscription)
M. Perceval Gaillard,Réunion,Réunion,perceval.gaillard@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Réunion (7e circonscription)
M. Philippe Naillet,Réunion,Réunion,philippe.naillet@assemblee-nationale.fr,Socialistes et apparentés,Réunion (1re circonscription)
Mme Karine Lebon,Réunion,Réunion,karine.lebon@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Réunion (2e circonscription)
Mme Émeline K/Bidi,Réunion,Réunion,emeline.kbidi@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Réunion (4e circonscription)
M. Frantz Gumbs,Saint-Barthélemy et Saint-Martin,Saint-Barthélemy et Saint-Martin,frantz.gumbs@assemblee-nationale.fr,Les Démocrates,Saint-Barthélemy et Saint-Martin (1re circonscription)
M. Stéphane Lenormand,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,stephane.lenormand@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Saint-Pierre-et-Miquelon (1re circonscription)
M. Mikaele Seo,Wallis-et-Futuna,Wallis-et-Futuna,mikaele.seo@assemblee-nationale.fr,Ensemble pour la République,Wallis-et-Futuna (1re circonscription)
